K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
124,0,0,N/A,N/A,0.0%,495,False,False,
125,0,29,N/A,N/A,0.0%,499,True,False,
126,0,0,N/A,N/A,0.0%,503,True,False,
127,1,19,127,129,50.0%,507,False,False,
128,0,0,N/A,N/A,0.0%,511,False,False,
129,0,2,N/A,N/A,0.0%,515,False,False,
130,0,0,N/A,N/A,0.0%,519,False,False,
131,1,7,131,133,50.0%,523,True,False,
132,0,0,N/A,N/A,0.0%,527,False,False,
133,0,3,N/A,N/A,0.0%,531,False,False,
134,0,0,N/A,N/A,0.0%,535,False,False,
135,0,1,N/A,N/A,0.0%,539,False,False,
136,0,0,N/A,N/A,0.0%,543,False,False,
137,2,101,139,143,66.7%,547,True,False,
138,0,0,N/A,N/A,0.0%,551,False,False,
139,1,8,139,141,50.0%,555,False,False,
140,0,0,N/A,N/A,0.0%,559,False,False,
141,0,0,N/A,N/A,0.0%,563,True,False,
142,0,0,N/A,N/A,0.0%,567,False,False,
143,0,12,N/A,N/A,0.0%,571,True,False,
144,0,0,N/A,N/A,0.0%,575,False,False,
145,0,2,N/A,N/A,0.0%,579,False,False,
146,0,0,N/A,N/A,0.0%,583,False,False,
147,0,2,N/A,N/A,0.0%,587,True,False,
148,0,0,N/A,N/A,0.0%,591,False,False,
149,2,13,151,155,66.7%,595,False,False,
150,0,0,N/A,N/A,0.0%,599,True,False,
151,1,16,151,153,50.0%,603,False,False,
152,0,0,N/A,N/A,0.0%,607,True,False,
153,0,1,N/A,N/A,0.0%,611,False,False,
154,0,0,N/A,N/A,0.0%,615,False,False,
155,0,17,N/A,N/A,0.0%,619,True,False,
156,0,0,N/A,N/A,0.0%,623,False,False,
157,1,20,157,159,50.0%,627,False,False,
158,0,0,N/A,N/A,0.0%,631,True,False,
159,0,1,N/A,N/A,0.0%,635,False,False,
160,0,0,N/A,N/A,0.0%,639,False,False,
161,0,76,N/A,N/A,0.0%,643,True,False,
162,0,0,N/A,N/A,0.0%,647,True,False,
163,1,2,163,165,50.0%,651,False,False,
164,0,0,N/A,N/A,0.0%,655,False,False,
165,0,1,N/A,N/A,0.0%,659,True,False,
166,0,0,N/A,N/A,0.0%,663,False,False,
167,1,15,167,169,50.0%,667,False,False,
168,0,0,N/A,N/A,0.0%,671,False,False,
169,0,4,N/A,N/A,0.0%,675,False,False,
170,0,0,N/A,N/A,0.0%,679,False,False,
171,0,6,N/A,N/A,0.0%,683,True,False,
172,0,0,N/A,N/A,0.0%,687,False,False,
173,1,20,173,175,50.0%,691,True,False,
174,0,0,N/A,N/A,0.0%,695,False,False,
175,0,1,N/A,N/A,0.0%,699,False,False,
176,0,0,N/A,N/A,0.0%,703,False,False,
177,0,3,N/A,N/A,0.0%,707,False,False,
178,0,0,N/A,N/A,0.0%,711,False,False,
179,2,44,181,185,66.7%,715,False,False,
180,0,0,N/A,N/A,0.0%,719,True,False,
181,1,27,181,183,50.0%,723,False,False,
182,0,0,N/A,N/A,0.0%,727,True,False,
183,0,0,N/A,N/A,0.0%,731,False,False,
184,0,0,N/A,N/A,0.0%,735,False,False,
185,0,20,N/A,N/A,0.0%,739,True,False,
186,0,0,N/A,N/A,0.0%,743,True,False,
187,0,5,N/A,N/A,0.0%,747,False,False,
188,0,0,N/A,N/A,0.0%,751,True,False,
189,0,1,N/A,N/A,0.0%,755,False,False,
190,0,0,N/A,N/A,0.0%,759,False,False,
191,3,52,197,203,75.0%,763,False,False,
192,0,0,N/A,N/A,0.0%,767,False,False,
193,1,8,193,195,50.0%,771,False,False,
194,0,0,N/A,N/A,0.0%,775,False,False,
195,0,1,N/A,N/A,0.0%,779,False,False,
196,0,0,N/A,N/A,0.0%,783,False,False,
197,2,16,199,203,66.7%,787,True,False,
198,0,0,N/A,N/A,0.0%,791,False,False,
199,1,12,199,201,50.0%,795,False,False,
200,0,0,N/A,N/A,0.0%,799,False,False,
201,0,0,N/A,N/A,0.0%,803,False,False,
202,0,0,N/A,N/A,0.0%,807,False,False,
203,0,9,N/A,N/A,0.0%,811,True,False,
204,0,0,N/A,N/A,0.0%,815,False,False,
205,0,1,N/A,N/A,0.0%,819,False,False,
206,0,0,N/A,N/A,0.0%,823,True,False,
207,0,6,N/A,N/A,0.0%,827,True,False,
208,0,0,N/A,N/A,0.0%,831,False,False,
209,0,5,N/A,N/A,0.0%,835,False,False,
210,0,0,N/A,N/A,0.0%,839,True,False,
211,1,6,211,213,50.0%,843,False,False,
212,0,0,N/A,N/A,0.0%,847,False,False,
213,0,2,N/A,N/A,0.0%,851,False,False,
214,0,0,N/A,N/A,0.0%,855,False,False,
215,0,9,N/A,N/A,0.0%,859,True,False,
216,0,0,N/A,N/A,0.0%,863,True,False,
217,0,2,N/A,N/A,0.0%,867,False,False,
218,0,0,N/A,N/A,0.0%,871,False,False,
219,0,1,N/A,N/A,0.0%,875,False,False,
220,0,0,N/A,N/A,0.0%,879,False,False,
221,0,72,N/A,N/A,0.0%,883,True,False,
222,0,0,N/A,N/A,0.0%,887,True,False,
223,1,2,223,225,50.0%,891,False,False,
224,0,0,N/A,N/A,0.0%,895,False,False,
225,0,1,N/A,N/A,0.0%,899,False,False,
226,0,0,N/A,N/A,0.0%,903,False,False,
227,4,132,239,247,80.0%,907,True,False,
228,0,0,N/A,N/A,0.0%,911,True,False,
229,1,3,229,231,50.0%,915,False,False,
230,0,0,N/A,N/A,0.0%,919,True,False,
231,0,2,N/A,N/A,0.0%,923,False,False,
232,0,0,N/A,N/A,0.0%,927,False,False,
233,1,3,233,235,50.0%,931,False,False,
234,0,0,N/A,N/A,0.0%,935,False,False,
235,0,4,N/A,N/A,0.0%,939,False,False,
236,0,0,N/A,N/A,0.0%,943,False,False,
237,0,12,N/A,N/A,0.0%,947,True,False,
238,0,0,N/A,N/A,0.0%,951,False,False,
239,2,44,241,245,66.7%,955,False,False,
240,0,0,N/A,N/A,0.0%,959,False,False,
241,1,9,241,243,50.0%,963,False,False,
242,0,0,N/A,N/A,0.0%,967,True,False,
243,0,1,N/A,N/A,0.0%,971,True,False,
244,0,0,N/A,N/A,0.0%,975,False,False,
245,0,4,N/A,N/A,0.0%,979,False,False,
246,0,0,N/A,N/A,0.0%,983,True,False,
247,0,0,N/A,N/A,0.0%,987,False,False,
248,0,0,N/A,N/A,0.0%,991,True,False,
249,0,2,N/A,N/A,0.0%,995,False,False,
250,0,0,N/A,N/A,0.0%,999,False,False,
251,1,28,251,253,50.0%,1003,False,False,
252,0,0,N/A,N/A,0.0%,1007,False,False,
253,0,0,N/A,N/A,0.0%,1011,False,False,
254,0,0,N/A,N/A,0.0%,1015,False,False,
255,0,1,N/A,N/A,0.0%,1019,True,False,
256,0,0,N/A,N/A,0.0%,1023,False,False,
257,1,64,257,259,50.0%,1027,False,False,
258,0,0,N/A,N/A,0.0%,1031,True,False,
259,0,3,N/A,N/A,0.0%,1035,False,False,
260,0,0,N/A,N/A,0.0%,1039,True,False,
261,0,3,N/A,N/A,0.0%,1043,False,False,
262,0,0,N/A,N/A,0.0%,1047,False,False,
263,1,29,263,265,50.0%,1051,True,False,
264,0,0,N/A,N/A,0.0%,1055,False,False,
265,0,15,N/A,N/A,0.0%,1059,False,False,
266,0,0,N/A,N/A,0.0%,1063,True,False,
267,0,1,N/A,N/A,0.0%,1067,False,False,
268,0,0,N/A,N/A,0.0%,1071,False,False,
269,2,10,271,275,66.7%,1075,False,False,
