K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
530,0,0,N/A,N/A,0.0%,2119,False,False,
531,0,0,N/A,N/A,0.0%,2123,False,False,
532,0,0,N/A,N/A,0.0%,2127,False,False,
533,0,0,N/A,N/A,0.0%,2131,True,False,
534,0,0,N/A,N/A,0.0%,2135,False,False,
535,0,5,N/A,N/A,0.0%,2139,False,False,
536,0,0,N/A,N/A,0.0%,2143,True,False,
537,0,5,N/A,N/A,0.0%,2147,False,False,
538,0,0,N/A,N/A,0.0%,2151,False,False,
539,0,2,N/A,N/A,0.0%,2155,False,False,
540,0,0,N/A,N/A,0.0%,2159,False,False,
541,1,15,541,543,50.0%,2163,False,False,
542,0,0,N/A,N/A,0.0%,2167,False,False,
543,0,3,N/A,N/A,0.0%,2171,False,False,
544,0,0,N/A,N/A,0.0%,2175,False,False,
545,0,40,N/A,N/A,0.0%,2179,True,False,
546,0,0,N/A,N/A,0.0%,2183,False,False,
547,1,3,547,549,50.0%,2187,False,False,
548,0,0,N/A,N/A,0.0%,2191,False,False,
549,0,1,N/A,N/A,0.0%,2195,False,False,
550,0,0,N/A,N/A,0.0%,2199,False,False,
551,0,50,N/A,N/A,0.0%,2203,True,False,
552,0,0,N/A,N/A,0.0%,2207,True,False,
553,0,0,N/A,N/A,0.0%,2211,False,False,
554,0,0,N/A,N/A,0.0%,2215,False,False,
555,0,1,N/A,N/A,0.0%,2219,False,False,
556,0,0,N/A,N/A,0.0%,2223,False,False,
557,1,25,557,559,50.0%,2227,False,False,
558,0,0,N/A,N/A,0.0%,2231,False,False,
559,0,5,N/A,N/A,0.0%,2235,False,False,
560,0,0,N/A,N/A,0.0%,2239,True,False,
561,0,1,N/A,N/A,0.0%,2243,True,False,
562,0,0,N/A,N/A,0.0%,2247,False,False,
563,1,8,563,565,50.0%,2251,True,False,
564,0,0,N/A,N/A,0.0%,2255,False,False,
565,0,3,N/A,N/A,0.0%,2259,False,False,
566,0,0,N/A,N/A,0.0%,2263,False,False,
567,0,2,N/A,N/A,0.0%,2267,True,False,
568,0,0,N/A,N/A,0.0%,2271,False,False,
569,2,10,571,575,66.7%,2275,False,False,
570,0,0,N/A,N/A,0.0%,2279,False,False,
571,1,22,571,573,50.0%,2283,False,False,
572,0,0,N/A,N/A,0.0%,2287,True,False,
573,0,1,N/A,N/A,0.0%,2291,False,False,
574,0,0,N/A,N/A,0.0%,2295,False,False,
575,0,7,N/A,N/A,0.0%,2299,False,False,
576,0,0,N/A,N/A,0.0%,2303,False,False,
577,1,14,577,579,50.0%,2307,False,False,
578,0,0,N/A,N/A,0.0%,2311,True,False,
579,0,1,N/A,N/A,0.0%,2315,False,False,
580,0,0,N/A,N/A,0.0%,2319,False,False,
581,0,22,N/A,N/A,0.0%,2323,False,False,
582,0,0,N/A,N/A,0.0%,2327,False,False,
583,0,0,N/A,N/A,0.0%,2331,False,False,
584,0,0,N/A,N/A,0.0%,2335,False,False,
585,0,1,N/A,N/A,0.0%,2339,True,False,
586,0,0,N/A,N/A,0.0%,2343,False,False,
587,1,58,587,589,50.0%,2347,True,False,
588,0,0,N/A,N/A,0.0%,2351,True,False,
589,0,4,N/A,N/A,0.0%,2355,False,False,
590,0,0,N/A,N/A,0.0%,2359,False,False,
591,0,1,N/A,N/A,0.0%,2363,False,False,
592,0,0,N/A,N/A,0.0%,2367,False,False,
593,1,4,593,595,50.0%,2371,True,False,
594,0,0,N/A,N/A,0.0%,2375,False,False,
595,0,2,N/A,N/A,0.0%,2379,False,False,
596,0,0,N/A,N/A,0.0%,2383,True,False,
597,0,3,N/A,N/A,0.0%,2387,False,False,
598,0,0,N/A,N/A,0.0%,2391,False,False,
599,2,13,601,605,66.7%,2395,False,False,
600,0,0,N/A,N/A,0.0%,2399,True,False,
601,1,24,601,603,50.0%,2403,False,False,
602,0,0,N/A,N/A,0.0%,2407,False,False,
603,0,0,N/A,N/A,0.0%,2411,True,False,
604,0,0,N/A,N/A,0.0%,2415,False,False,
605,0,10,N/A,N/A,0.0%,2419,False,False,
606,0,0,N/A,N/A,0.0%,2423,True,False,
607,1,3,607,609,50.0%,2427,False,False,
608,0,0,N/A,N/A,0.0%,2431,False,False,
609,0,0,N/A,N/A,0.0%,2435,False,False,
610,0,0,N/A,N/A,0.0%,2439,False,False,
611,0,43,N/A,N/A,0.0%,2443,False,False,
612,0,0,N/A,N/A,0.0%,2447,True,False,
613,1,3,613,615,50.0%,2451,False,False,
614,0,0,N/A,N/A,0.0%,2455,False,False,
615,0,1,N/A,N/A,0.0%,2459,True,False,
616,0,0,N/A,N/A,0.0%,2463,False,False,
617,2,34,619,623,66.7%,2467,True,False,
618,0,0,N/A,N/A,0.0%,2471,False,False,
619,1,22,619,621,50.0%,2475,False,False,
620,0,0,N/A,N/A,0.0%,2479,False,False,
621,0,2,N/A,N/A,0.0%,2483,False,False,
622,0,0,N/A,N/A,0.0%,2487,False,False,
623,0,9,N/A,N/A,0.0%,2491,False,False,
624,0,0,N/A,N/A,0.0%,2495,False,False,
625,0,1,N/A,N/A,0.0%,2499,False,False,
626,0,0,N/A,N/A,0.0%,2503,True,False,
627,0,2,N/A,N/A,0.0%,2507,False,False,
628,0,0,N/A,N/A,0.0%,2511,False,False,
629,0,42,N/A,N/A,0.0%,2515,False,False,
630,0,0,N/A,N/A,0.0%,2519,False,False,
631,1,4,631,633,50.0%,2523,False,False,
632,0,0,N/A,N/A,0.0%,2527,False,False,
633,0,1,N/A,N/A,0.0%,2531,True,False,
634,0,0,N/A,N/A,0.0%,2535,False,False,
635,0,4,N/A,N/A,0.0%,2539,True,False,
636,0,0,N/A,N/A,0.0%,2543,True,False,
637,0,1,N/A,N/A,0.0%,2547,False,False,
638,0,0,N/A,N/A,0.0%,2551,True,False,
639,0,2,N/A,N/A,0.0%,2555,False,False,
640,0,0,N/A,N/A,0.0%,2559,False,False,
641,5,32,661,671,83.3%,2563,False,False,
642,0,0,N/A,N/A,0.0%,2567,False,False,
643,1,6,643,645,50.0%,2571,False,False,
644,0,0,N/A,N/A,0.0%,2575,False,False,
645,0,1,N/A,N/A,0.0%,2579,True,False,
646,0,0,N/A,N/A,0.0%,2583,False,False,
647,1,15,647,649,50.0%,2587,False,False,
648,0,0,N/A,N/A,0.0%,2591,True,False,
649,0,8,N/A,N/A,0.0%,2595,False,False,
650,0,0,N/A,N/A,0.0%,2599,False,False,
651,0,1,N/A,N/A,0.0%,2603,False,False,
652,0,0,N/A,N/A,0.0%,2607,False,False,
653,1,9,653,655,50.0%,2611,False,False,
654,0,0,N/A,N/A,0.0%,2615,False,False,
655,0,1,N/A,N/A,0.0%,2619,False,False,
656,0,0,N/A,N/A,0.0%,2623,False,False,
657,0,2,N/A,N/A,0.0%,2627,False,False,
658,0,0,N/A,N/A,0.0%,2631,False,False,
659,2,4,661,665,66.7%,2635,False,False,
660,0,0,N/A,N/A,0.0%,2639,False,False,
661,1,5,661,663,50.0%,2643,False,False,
662,0,0,N/A,N/A,0.0%,2647,True,False,
663,0,3,N/A,N/A,0.0%,2651,False,False,
664,0,0,N/A,N/A,0.0%,2655,False,False,
665,0,1,N/A,N/A,0.0%,2659,True,False,
666,0,0,N/A,N/A,0.0%,2663,True,False,
667,0,10,N/A,N/A,0.0%,2667,False,False,
668,0,0,N/A,N/A,0.0%,2671,True,False,
669,0,0,N/A,N/A,0.0%,2675,False,False,
670,0,0,N/A,N/A,0.0%,2679,False,False,
671,0,55,N/A,N/A,0.0%,2683,True,False,
672,0,0,N/A,N/A,0.0%,2687,True,False,
673,1,1,673,675,50.0%,2691,False,False,
674,0,0,N/A,N/A,0.0%,2695,False,False,
675,0,1,N/A,N/A,0.0%,2699,True,False,
676,0,0,N/A,N/A,0.0%,2703,False,False,
677,1,24,677,679,50.0%,2707,True,False,
678,0,0,N/A,N/A,0.0%,2711,True,False,
679,0,21,N/A,N/A,0.0%,2715,False,False,
680,0,0,N/A,N/A,0.0%,2719,True,False,
681,0,2,N/A,N/A,0.0%,2723,False,False,
682,0,0,N/A,N/A,0.0%,2727,False,False,
683,1,1,683,685,50.0%,2731,True,False,
684,0,0,N/A,N/A,0.0%,2735,False,False,
685,0,3,N/A,N/A,0.0%,2739,False,False,
686,0,0,N/A,N/A,0.0%,2743,False,False,
687,0,0,N/A,N/A,0.0%,2747,False,False,
688,0,0,N/A,N/A,0.0%,2751,False,False,
689,0,17,N/A,N/A,0.0%,2755,False,False,
690,0,0,N/A,N/A,0.0%,2759,False,False,
691,1,1,691,693,50.0%,2763,False,False,
692,0,0,N/A,N/A,0.0%,2767,True,False,
693,0,0,N/A,N/A,0.0%,2771,False,False,
694,0,0,N/A,N/A,0.0%,2775,False,False,
695,0,5,N/A,N/A,0.0%,2779,False,False,
696,0,0,N/A,N/A,0.0%,2783,False,False,
697,0,68,N/A,N/A,0.0%,2787,False,False,
698,0,0,N/A,N/A,0.0%,2791,True,False,
699,0,2,N/A,N/A,0.0%,2795,False,False,
700,0,0,N/A,N/A,0.0%,2799,False,False,
701,1,1,701,703,50.0%,2803,True,False,
702,0,0,N/A,N/A,0.0%,2807,False,False,
703,0,2,N/A,N/A,0.0%,2811,False,False,
704,0,0,N/A,N/A,0.0%,2815,False,False,
705,0,0,N/A,N/A,0.0%,2819,True,False,
706,0,0,N/A,N/A,0.0%,2823,False,False,
707,0,29,N/A,N/A,0.0%,2827,False,False,
708,0,0,N/A,N/A,0.0%,2831,False,False,
709,1,3,709,711,50.0%,2835,False,False,
710,0,0,N/A,N/A,0.0%,2839,False,False,
711,0,0,N/A,N/A,0.0%,2843,True,False,
712,0,0,N/A,N/A,0.0%,2847,False,False,
713,0,8,N/A,N/A,0.0%,2851,True,False,
714,0,0,N/A,N/A,0.0%,2855,False,False,
715,0,3,N/A,N/A,0.0%,2859,False,False,
716,0,0,N/A,N/A,0.0%,2863,False,False,
717,0,1,N/A,N/A,0.0%,2867,False,False,
718,0,0,N/A,N/A,0.0%,2871,False,False,
719,1,11,719,721,50.0%,2875,False,False,
720,0,0,N/A,N/A,0.0%,2879,True,False,
721,0,6,N/A,N/A,0.0%,2883,False,False,
722,0,0,N/A,N/A,0.0%,2887,True,False,
723,0,1,N/A,N/A,0.0%,2891,False,False,
724,0,0,N/A,N/A,0.0%,2895,False,False,
725,0,1,N/A,N/A,0.0%,2899,False,False,
726,0,0,N/A,N/A,0.0%,2903,True,False,
727,1,23,727,729,50.0%,2907,False,False,
728,0,0,N/A,N/A,0.0%,2911,False,False,
729,0,0,N/A,N/A,0.0%,2915,False,False,
730,0,0,N/A,N/A,0.0%,2919,False,False,
731,0,84,N/A,N/A,0.0%,2923,False,False,
732,0,0,N/A,N/A,0.0%,2927,True,False,
733,1,2,733,735,50.0%,2931,False,False,
734,0,0,N/A,N/A,0.0%,2935,False,False,
735,0,0,N/A,N/A,0.0%,2939,True,False,
736,0,0,N/A,N/A,0.0%,2943,False,False,
737,0,23,N/A,N/A,0.0%,2947,False,False,
738,0,0,N/A,N/A,0.0%,2951,False,False,
739,1,5,739,741,50.0%,2955,False,False,
740,0,0,N/A,N/A,0.0%,2959,False,False,
741,0,3,N/A,N/A,0.0%,2963,True,False,
742,0,0,N/A,N/A,0.0%,2967,False,False,
743,1,23,743,745,50.0%,2971,True,False,
744,0,0,N/A,N/A,0.0%,2975,False,False,
745,0,4,N/A,N/A,0.0%,2979,False,False,
746,0,0,N/A,N/A,0.0%,2983,False,False,
747,0,0,N/A,N/A,0.0%,2987,False,False,
748,0,0,N/A,N/A,0.0%,2991,False,False,
749,0,42,N/A,N/A,0.0%,2995,False,False,
750,0,0,N/A,N/A,0.0%,2999,True,False,
751,1,2,751,753,50.0%,3003,False,False,
752,0,0,N/A,N/A,0.0%,3007,False,False,
753,0,3,N/A,N/A,0.0%,3011,True,False,
754,0,0,N/A,N/A,0.0%,3015,False,False,
755,0,30,N/A,N/A,0.0%,3019,True,False,
756,0,0,N/A,N/A,0.0%,3023,True,False,
757,1,4,757,759,50.0%,3027,False,False,
758,0,0,N/A,N/A,0.0%,3031,False,False,
759,0,1,N/A,N/A,0.0%,3035,False,False,
760,0,0,N/A,N/A,0.0%,3039,False,False,
761,1,2,761,763,50.0%,3043,False,False,
762,0,0,N/A,N/A,0.0%,3047,False,False,
763,0,1,N/A,N/A,0.0%,3051,False,False,
764,0,0,N/A,N/A,0.0%,3055,False,False,
765,0,0,N/A,N/A,0.0%,3059,False,False,
766,0,0,N/A,N/A,0.0%,3063,False,False,
767,0,25,N/A,N/A,0.0%,3067,True,False,
768,0,0,N/A,N/A,0.0%,3071,False,False,
769,1,1,769,771,50.0%,3075,False,False,
770,0,0,N/A,N/A,0.0%,3079,True,False,
771,0,1,N/A,N/A,0.0%,3083,True,False,
772,0,0,N/A,N/A,0.0%,3087,False,False,
773,1,1,773,775,50.0%,3091,False,False,
774,0,0,N/A,N/A,0.0%,3095,False,False,
775,0,1,N/A,N/A,0.0%,3099,False,False,
776,0,0,N/A,N/A,0.0%,3103,False,False,
777,0,1,N/A,N/A,0.0%,3107,False,False,
778,0,0,N/A,N/A,0.0%,3111,False,False,
779,0,0,N/A,N/A,0.0%,3115,False,False,
780,0,0,N/A,N/A,0.0%,3119,True,False,
781,0,12,N/A,N/A,0.0%,3123,False,False,
782,0,0,N/A,N/A,0.0%,3127,False,False,
783,0,0,N/A,N/A,0.0%,3131,False,False,
784,0,0,N/A,N/A,0.0%,3135,False,False,
785,0,29,N/A,N/A,0.0%,3139,False,False,
786,0,0,N/A,N/A,0.0%,3143,False,False,
787,1,1,787,789,50.0%,3147,False,False,
788,0,0,N/A,N/A,0.0%,3151,False,False,
789,0,1,N/A,N/A,0.0%,3155,False,False,
790,0,0,N/A,N/A,0.0%,3159,False,False,
791,0,21,N/A,N/A,0.0%,3163,True,False,
792,0,0,N/A,N/A,0.0%,3167,True,False,
793,0,0,N/A,N/A,0.0%,3171,False,False,
794,0,0,N/A,N/A,0.0%,3175,False,False,
795,0,1,N/A,N/A,0.0%,3179,False,False,
796,0,0,N/A,N/A,0.0%,3183,False,False,
797,1,27,797,799,50.0%,3187,True,False,
798,0,0,N/A,N/A,0.0%,3191,True,False,
799,0,2,N/A,N/A,0.0%,3195,False,False,
800,0,0,N/A,N/A,0.0%,3199,False,False,
801,0,4,N/A,N/A,0.0%,3203,True,False,
802,0,0,N/A,N/A,0.0%,3207,False,False,
803,0,3,N/A,N/A,0.0%,3211,False,False,
804,0,0,N/A,N/A,0.0%,3215,False,False,
805,0,1,N/A,N/A,0.0%,3219,False,False,
806,0,0,N/A,N/A,0.0%,3223,False,False,
807,0,3,N/A,N/A,0.0%,3227,False,False,
808,0,0,N/A,N/A,0.0%,3231,False,False,
809,2,99,811,815,66.7%,3235,False,False,
810,0,0,N/A,N/A,0.0%,3239,False,False,
811,1,10,811,813,50.0%,3243,False,False,
812,0,0,N/A,N/A,0.0%,3247,False,False,
813,0,0,N/A,N/A,0.0%,3251,True,False,
814,0,0,N/A,N/A,0.0%,3255,False,False,
815,0,41,N/A,N/A,0.0%,3259,True,False,
816,0,0,N/A,N/A,0.0%,3263,False,False,
817,0,4,N/A,N/A,0.0%,3267,False,False,
818,0,0,N/A,N/A,0.0%,3271,True,False,
819,0,2,N/A,N/A,0.0%,3275,False,False,
820,0,0,N/A,N/A,0.0%,3279,False,False,
821,3,18,827,833,75.0%,3283,False,False,
822,0,0,N/A,N/A,0.0%,3287,False,False,
823,1,3,823,825,50.0%,3291,False,False,
824,0,0,N/A,N/A,0.0%,3295,False,False,
825,0,1,N/A,N/A,0.0%,3299,True,False,
826,0,0,N/A,N/A,0.0%,3303,False,False,
827,2,8,829,833,66.7%,3307,True,False,
828,0,0,N/A,N/A,0.0%,3311,False,False,
829,1,19,829,831,50.0%,3315,False,False,
830,0,0,N/A,N/A,0.0%,3319,True,False,
831,0,0,N/A,N/A,0.0%,3323,True,False,
832,0,0,N/A,N/A,0.0%,3327,False,False,
833,0,3,N/A,N/A,0.0%,3331,True,False,
834,0,0,N/A,N/A,0.0%,3335,False,False,
835,0,0,N/A,N/A,0.0%,3339,False,False,
836,0,0,N/A,N/A,0.0%,3343,True,False,
837,0,2,N/A,N/A,0.0%,3347,True,False,
838,0,0,N/A,N/A,0.0%,3351,False,False,
839,1,39,839,841,50.0%,3355,False,False,
840,0,0,N/A,N/A,0.0%,3359,True,False,
841,0,2,N/A,N/A,0.0%,3363,False,False,
842,0,0,N/A,N/A,0.0%,3367,False,False,
843,0,1,N/A,N/A,0.0%,3371,True,False,
844,0,0,N/A,N/A,0.0%,3375,False,False,
845,0,7,N/A,N/A,0.0%,3379,False,False,
846,0,0,N/A,N/A,0.0%,3383,False,False,
847,0,5,N/A,N/A,0.0%,3387,False,False,
848,0,0,N/A,N/A,0.0%,3391,True,False,
849,0,0,N/A,N/A,0.0%,3395,False,False,
850,0,0,N/A,N/A,0.0%,3399,False,False,
851,0,24,N/A,N/A,0.0%,3403,False,False,
852,0,0,N/A,N/A,0.0%,3407,True,False,
853,1,3,853,855,50.0%,3411,False,False,
854,0,0,N/A,N/A,0.0%,3415,False,False,
855,0,1,N/A,N/A,0.0%,3419,False,False,
856,0,0,N/A,N/A,0.0%,3423,False,False,
857,3,99,863,869,75.0%,3427,False,False,
858,0,0,N/A,N/A,0.0%,3431,False,False,
859,1,1,859,861,50.0%,3435,False,False,
860,0,0,N/A,N/A,0.0%,3439,False,False,
861,0,2,N/A,N/A,0.0%,3443,False,False,
862,0,0,N/A,N/A,0.0%,3447,False,False,
863,1,7,863,865,50.0%,3451,False,False,
864,0,0,N/A,N/A,0.0%,3455,False,False,
865,0,9,N/A,N/A,0.0%,3459,False,False,
866,0,0,N/A,N/A,0.0%,3463,True,False,
867,0,1,N/A,N/A,0.0%,3467,True,False,
868,0,0,N/A,N/A,0.0%,3471,False,False,
869,0,7,N/A,N/A,0.0%,3475,False,False,
870,0,0,N/A,N/A,0.0%,3479,False,False,
871,0,2,N/A,N/A,0.0%,3483,False,False,
872,0,0,N/A,N/A,0.0%,3487,False,False,
873,0,0,N/A,N/A,0.0%,3491,True,False,
874,0,0,N/A,N/A,0.0%,3495,False,False,
875,0,9,N/A,N/A,0.0%,3499,True,False,
876,0,0,N/A,N/A,0.0%,3503,False,False,
877,1,23,877,879,50.0%,3507,False,False,
878,0,0,N/A,N/A,0.0%,3511,True,False,
879,0,1,N/A,N/A,0.0%,3515,False,False,
880,0,0,N/A,N/A,0.0%,3519,False,False,
881,3,81,887,893,75.0%,3523,False,False,
882,0,0,N/A,N/A,0.0%,3527,True,False,
883,1,1,883,885,50.0%,3531,False,False,
884,0,0,N/A,N/A,0.0%,3535,False,False,
885,0,1,N/A,N/A,0.0%,3539,True,False,
886,0,0,N/A,N/A,0.0%,3543,False,False,
887,1,15,887,889,50.0%,3547,True,False,
888,0,0,N/A,N/A,0.0%,3551,False,False,
889,0,0,N/A,N/A,0.0%,3555,False,False,
890,0,0,N/A,N/A,0.0%,3559,True,False,
891,0,2,N/A,N/A,0.0%,3563,False,False,
892,0,0,N/A,N/A,0.0%,3567,False,False,
893,0,0,N/A,N/A,0.0%,3571,True,False,
894,0,0,N/A,N/A,0.0%,3575,False,False,
895,0,8,N/A,N/A,0.0%,3579,False,False,
896,0,0,N/A,N/A,0.0%,3583,True,False,
897,0,0,N/A,N/A,0.0%,3587,False,False,
898,0,0,N/A,N/A,0.0%,3591,False,False,
899,0,16,N/A,N/A,0.0%,3595,False,False,
900,0,0,N/A,N/A,0.0%,3599,False,False,
901,0,1,N/A,N/A,0.0%,3603,False,False,
902,0,0,N/A,N/A,0.0%,3607,True,False,
903,0,0,N/A,N/A,0.0%,3611,False,False,
904,0,0,N/A,N/A,0.0%,3615,False,False,
905,0,6,N/A,N/A,0.0%,3619,False,False,
906,0,0,N/A,N/A,0.0%,3623,True,False,
907,1,41,907,909,50.0%,3627,False,False,
908,0,0,N/A,N/A,0.0%,3631,True,False,
909,0,2,N/A,N/A,0.0%,3635,False,False,
910,0,0,N/A,N/A,0.0%,3639,False,False,
911,1,15,911,913,50.0%,3643,True,False,
912,0,0,N/A,N/A,0.0%,3647,False,False,
913,0,1,N/A,N/A,0.0%,3651,False,False,
914,0,0,N/A,N/A,0.0%,3655,False,False,
915,0,0,N/A,N/A,0.0%,3659,True,False,
916,0,0,N/A,N/A,0.0%,3663,False,False,
917,0,4,N/A,N/A,0.0%,3667,False,False,
918,0,0,N/A,N/A,0.0%,3671,True,False,
919,1,1,919,921,50.0%,3675,False,False,
920,0,0,N/A,N/A,0.0%,3679,False,False,
921,0,11,N/A,N/A,0.0%,3683,False,False,
922,0,0,N/A,N/A,0.0%,3687,False,False,
923,0,9,N/A,N/A,0.0%,3691,True,False,
924,0,0,N/A,N/A,0.0%,3695,False,False,
925,0,3,N/A,N/A,0.0%,3699,False,False,
926,0,0,N/A,N/A,0.0%,3703,False,False,
927,0,3,N/A,N/A,0.0%,3707,False,False,
928,0,0,N/A,N/A,0.0%,3711,False,False,
929,1,7,929,931,50.0%,3715,False,False,
930,0,0,N/A,N/A,0.0%,3719,True,False,
931,0,1,N/A,N/A,0.0%,3723,False,False,
932,0,0,N/A,N/A,0.0%,3727,True,False,
933,0,1,N/A,N/A,0.0%,3731,False,False,
934,0,0,N/A,N/A,0.0%,3735,False,False,
935,0,11,N/A,N/A,0.0%,3739,True,False,
936,0,0,N/A,N/A,0.0%,3743,False,False,
937,1,5,937,939,50.0%,3747,False,False,
938,0,0,N/A,N/A,0.0%,3751,False,False,
939,0,1,N/A,N/A,0.0%,3755,False,False,
940,0,0,N/A,N/A,0.0%,3759,False,False,
941,1,47,941,943,50.0%,3763,False,False,
942,0,0,N/A,N/A,0.0%,3767,True,False,
943,0,0,N/A,N/A,0.0%,3771,False,False,
944,0,0,N/A,N/A,0.0%,3775,False,False,
945,0,1,N/A,N/A,0.0%,3779,True,False,
946,0,0,N/A,N/A,0.0%,3783,False,False,
947,1,21,947,949,50.0%,3787,False,False,
948,0,0,N/A,N/A,0.0%,3791,False,False,
949,0,0,N/A,N/A,0.0%,3795,False,False,
950,0,0,N/A,N/A,0.0%,3799,False,False,
951,0,2,N/A,N/A,0.0%,3803,True,False,
952,0,0,N/A,N/A,0.0%,3807,False,False,
953,1,36,953,955,50.0%,3811,False,False,
954,0,0,N/A,N/A,0.0%,3815,False,False,
955,0,3,N/A,N/A,0.0%,3819,False,False,
956,0,0,N/A,N/A,0.0%,3823,True,False,
957,0,2,N/A,N/A,0.0%,3827,False,False,
958,0,0,N/A,N/A,0.0%,3831,False,False,
959,0,17,N/A,N/A,0.0%,3835,False,False,
960,0,0,N/A,N/A,0.0%,3839,False,False,
961,0,41,N/A,N/A,0.0%,3843,False,False,
962,0,0,N/A,N/A,0.0%,3847,True,False,
963,0,2,N/A,N/A,0.0%,3851,True,False,
964,0,0,N/A,N/A,0.0%,3855,False,False,
965,0,35,N/A,N/A,0.0%,3859,False,False,
966,0,0,N/A,N/A,0.0%,3863,True,False,
967,1,5,967,969,50.0%,3867,False,False,
968,0,0,N/A,N/A,0.0%,3871,False,False,
969,0,1,N/A,N/A,0.0%,3875,False,False,
970,0,0,N/A,N/A,0.0%,3879,False,False,
971,1,28,971,973,50.0%,3883,False,False,
972,0,0,N/A,N/A,0.0%,3887,False,False,
973,0,0,N/A,N/A,0.0%,3891,False,False,
974,0,0,N/A,N/A,0.0%,3895,False,False,
975,0,1,N/A,N/A,0.0%,3899,False,False,
976,0,0,N/A,N/A,0.0%,3903,False,False,
977,1,50,977,979,50.0%,3907,True,False,
978,0,0,N/A,N/A,0.0%,3911,True,False,
979,0,5,N/A,N/A,0.0%,3915,False,False,
980,0,0,N/A,N/A,0.0%,3919,True,False,
981,0,1,N/A,N/A,0.0%,3923,True,False,
982,0,0,N/A,N/A,0.0%,3927,False,False,
983,1,9,983,985,50.0%,3931,True,False,
984,0,0,N/A,N/A,0.0%,3935,False,False,
985,0,2,N/A,N/A,0.0%,3939,False,False,
986,0,0,N/A,N/A,0.0%,3943,True,False,
987,0,0,N/A,N/A,0.0%,3947,True,False,
988,0,0,N/A,N/A,0.0%,3951,False,False,
989,0,9,N/A,N/A,0.0%,3955,False,False,
990,0,0,N/A,N/A,0.0%,3959,False,False,
991,1,36,991,993,50.0%,3963,False,False,
992,0,0,N/A,N/A,0.0%,3967,True,False,
993,0,3,N/A,N/A,0.0%,3971,False,False,
994,0,0,N/A,N/A,0.0%,3975,False,False,
995,0,1,N/A,N/A,0.0%,3979,False,False,
996,0,0,N/A,N/A,0.0%,3983,False,False,
997,1,16,997,999,50.0%,3987,False,False,
998,0,0,N/A,N/A,0.0%,3991,False,False,
999,0,1,N/A,N/A,0.0%,3995,False,False,
1000,0,0,N/A,N/A,0.0%,3999,False,False,
